item_id,condition,critical_region_text
22,plusF_plusG1_minusG2,the shopkeepers
22,plusF_minusG1_plusG2,directly
22,plusF_minusG1_minusG2,the shopkeepers
22,minusF_plusG1_plusG2,directly
22,minusF_plusG1_minusG2,the shopkeepers
22,minusF_minusG1_plusG2,directly
22,minusF_minusG1_minusG2,the shopkeepers
23,plusF_plusG1_plusG2,accurately
23,plusF_plusG1_minusG2,the patriarch
23,plusF_minusG1_plusG2,accurately
23,plusF_minusG1_minusG2,the patriarch
23,minusF_plusG1_plusG2,accurately
23,minusF_plusG1_minusG2,the patriarch
23,minusF_minusG1_plusG2,accurately
23,minusF_minusG1_minusG2,the patriarch
24,plusF_plusG1_plusG2,soon
24,plusF_plusG1_minusG2,the establishment
24,plusF_minusG1_plusG2,soon
24,plusF_minusG1_minusG2,the establishment
24,minusF_plusG1_plusG2,soon
24,minusF_plusG1_minusG2,the establishment
24,minusF_minusG1_plusG2,soon
24,minusF_minusG1_minusG2,the establishment
25,plusF_plusG1_plusG2,this week
25,plusF_plusG1_minusG2,the director
25,plusF_minusG1_plusG2,this week
25,plusF_minusG1_minusG2,the director
25,minusF_plusG1_plusG2,this week
25,minusF_plusG1_minusG2,the director
25,minusF_minusG1_plusG2,this week
25,minusF_minusG1_minusG2,the director
26,plusF_plusG1_plusG2,immediately
26,plusF_plusG1_minusG2,the witness
26,plusF_minusG1_plusG2,immediately
26,plusF_minusG1_minusG2,the witness
26,minusF_plusG1_plusG2,immediately
26,minusF_plusG1_minusG2,the witness
26,minusF_minusG1_plusG2,immediately
26,minusF_minusG1_minusG2,the witness
27,plusF_plusG1_plusG2,yesterday
27,plusF_plusG1_minusG2,the students
27,plusF_minusG1_plusG2,yesterday
27,plusF_minusG1_minusG2,the students
27,minusF_plusG1_plusG2,yesterday
27,minusF_plusG1_minusG2,the students
27,minusF_minusG1_plusG2,yesterday
27,minusF_minusG1_minusG2,the students
28,plusF_plusG1_plusG2,soon
28,plusF_plusG1_minusG2,the president
28,plusF_minusG1_plusG2,soon
28,plusF_minusG1_minusG2,the president
28,minusF_plusG1_plusG2,soon
28,minusF_plusG1_minusG2,the president
28,minusF_minusG1_plusG2,soon
28,minusF_minusG1_minusG2,the president
29,plusF_plusG1_plusG2,eventually
29,plusF_plusG1_minusG2,the guests
29,plusF_minusG1_plusG2,eventually
29,plusF_minusG1_minusG2,the guests
29,minusF_plusG1_plusG2,eventually
29,minusF_plusG1_minusG2,the guests
29,minusF_minusG1_plusG2,eventually
29,minusF_minusG1_minusG2,the guests
30,plusF_plusG1_plusG2,most
30,plusF_plusG1_minusG2,the CEO
30,plusF_minusG1_plusG2,most
30,plusF_minusG1_minusG2,the CEO
30,minusF_plusG1_plusG2,most
30,minusF_plusG1_minusG2,the CEO
30,minusF_minusG1_plusG2,most
30,minusF_minusG1_minusG2,the CEO
31,plusF_plusG1_plusG2,yesterday
31,plusF_plusG1_minusG2,the student
31,plusF_minusG1_plusG2,yesterday
31,plusF_minusG1_minusG2,the student
31,minusF_plusG1_plusG2,yesterday
31,minusF_plusG1_minusG2,the student
31,minusF_minusG1_plusG2,yesterday
31,minusF_minusG1_minusG2,the student
32,plusF_plusG1_plusG2,eventually
32,plusF_plusG1_minusG2,the readers
32,plusF_minusG1_plusG2,eventually
32,plusF_minusG1_minusG2,the readers
32,minusF_plusG1_plusG2,eventually
32,minusF_plusG1_minusG2,the readers
32,minusF_minusG1_plusG2,eventually
32,minusF_minusG1_minusG2,the readers
33,plusF_plusG1_plusG2,completely
33,plusF_plusG1_minusG2,the new manager
33,plusF_minusG1_plusG2,completely
33,plusF_minusG1_minusG2,the new manager
33,minusF_plusG1_plusG2,completely
33,minusF_plusG1_minusG2,the new manager
33,minusF_minusG1_plusG2,completely
33,minusF_minusG1_minusG2,the new manager
34,plusF_plusG1_plusG2,soon
34,plusF_plusG1_minusG2,the official
34,plusF_minusG1_plusG2,soon
34,plusF_minusG1_minusG2,the official
34,minusF_plusG1_plusG2,soon
34,minusF_plusG1_minusG2,the official
34,minusF_minusG1_plusG2,soon
34,minusF_minusG1_minusG2,the official
35,plusF_plusG1_plusG2,eventually
35,plusF_plusG1_minusG2,the interns
35,plusF_minusG1_plusG2,eventually
35,plusF_minusG1_minusG2,the interns
35,minusF_plusG1_plusG2,eventually
35,minusF_plusG1_minusG2,the interns
35,minusF_minusG1_plusG2,eventually
35,minusF_minusG1_minusG2,the interns
36,plusF_plusG1_plusG2,today
36,plusF_plusG1_minusG2,the quiet student
36,plusF_minusG1_plusG2,today
36,plusF_minusG1_minusG2,the quiet student
36,minusF_plusG1_plusG2,today
36,minusF_plusG1_minusG2,the quiet student
36,minusF_minusG1_plusG2,today
36,minusF_minusG1_minusG2,the quiet student
37,plusF_plusG1_plusG2,perfectly
37,plusF_plusG1_minusG2,the queen
37,plusF_minusG1_plusG2,perfectly
37,plusF_minusG1_minusG2,the queen
37,minusF_plusG1_plusG2,perfectly
37,minusF_plusG1_minusG2,the queen
37,minusF_minusG1_plusG2,perfectly
37,minusF_minusG1_minusG2,the queen
38,plusF_plusG1_plusG2,soon
38,plusF_plusG1_minusG2,the old guard
38,plusF_minusG1_plusG2,soon
38,plusF_minusG1_minusG2,the old guard
38,minusF_plusG1_plusG2,soon
38,minusF_plusG1_minusG2,the old guard
38,minusF_minusG1_plusG2,soon
38,minusF_minusG1_minusG2,the old guard
39,plusF_plusG1_plusG2,eventually
39,plusF_plusG1_minusG2,the songwriter
39,plusF_minusG1_plusG2,eventually
39,plusF_minusG1_minusG2,the songwriter
39,minusF_plusG1_plusG2,eventually
39,minusF_plusG1_minusG2,the songwriter
39,minusF_minusG1_plusG2,eventually
39,minusF_minusG1_minusG2,the songwriter
40,plusF_plusG1_plusG2,this week
40,plusF_plusG1_minusG2,the defendant
40,plusF_minusG1_plusG2,this week
40,plusF_minusG1_minusG2,the defendant
40,minusF_plusG1_plusG2,this week
40,minusF_plusG1_minusG2,the defendant
40,minusF_minusG1_plusG2,this week
40,minusF_minusG1_minusG2,the defendant
